state,year,quarter,brand,total_users,total_transaction_amount
tamil-nadu,2022,1,Others,1535273,0.07085759832224274
andhra-pradesh,2020,2,Oppo,1535129,0.1072041788657913
madhya-pradesh,2019,3,Samsung,1532795,0.18736804249630593
andhra-pradesh,2021,1,Realme,1531645,0.0834059719774841
chhattisgarh,2022,1,Vivo,1531319,0.2588016044046936
odisha,2021,1,Vivo,1523937,0.16505312623436194
punjab,2022,1,Vivo,1523181,0.20857704369573773
haryana,2020,2,Samsung,1520490,0.19790630542356652
telangana,2020,3,Oppo,1520230,0.10419041151864569
kerala,2021,1,Samsung,1517006,0.21868508938303227
delhi,2020,3,Vivo,1516602,0.16768828198130642
maharashtra,2018,4,Oppo,1510894,0.1129083049996555
maharashtra,2022,1,Apple,1510802,0.03132648235047005
odisha,2020,4,Samsung,1510338,0.17564620722242102
tamil-nadu,2021,4,Others,1508896,0.07384552018480564
maharashtra,2019,2,Others,1507640,0.08029195330983825
bihar,2020,2,Vivo,1506720,0.14209289962708535
maharashtra,2020,4,Realme,1504255,0.04368690269413336
rajasthan,2019,1,Vivo,1503951,0.19500923471422696
jharkhand,2021,1,Xiaomi,1499838,0.28229327453972286
tamil-nadu,2021,3,Others,1498256,0.07833018950784841
madhya-pradesh,2019,3,Vivo,1494051,0.18263199662032323
rajasthan,2021,1,Others,1493064,0.08453975202433735
rajasthan,2021,2,Others,1489818,0.07849002567569596
uttar-pradesh,2020,2,Realme,1489668,0.0662118248761174
gujarat,2019,2,Vivo,1487567,0.19638768549549188
delhi,2020,1,Samsung,1484289,0.18965648321911652
telangana,2021,3,Realme,1483670,0.07563848954880986
rajasthan,2018,4,Xiaomi,1482976,0.2332186040689206
rajasthan,2021,3,Others,1477499,0.07207500293300337
punjab,2022,1,Samsung,1477258,0.20228857004904743
punjab,2021,3,Xiaomi,1468863,0.22826643368575736
tamil-nadu,2022,1,Realme,1468106,0.0677576334909
tamil-nadu,2021,2,Others,1467943,0.08244766981369137
kerala,2020,4,Xiaomi,1466789,0.22964618597065461
andhra-pradesh,2019,2,Vivo,1466695,0.15621413690037164
rajasthan,2022,1,Others,1464475,0.06258745886604632
karnataka,2020,4,Others,1463101,0.0653164782321858
odisha,2021,3,Oppo,1456997,0.13677525160784004
tamil-nadu,2020,3,Oppo,1456520,0.10675598131293908
rajasthan,2021,4,Others,1454977,0.06620392350218195
haryana,2019,3,Xiaomi,1453801,0.2513594981250925
west-bengal,2020,1,Others,1441068,0.12048235480805583
rajasthan,2020,4,Others,1439784,0.0881707663446277
tamil-nadu,2021,1,Others,1435326,0.08629590741271603
karnataka,2019,3,Oppo,1434039,0.10517279882948939
delhi,2021,2,Oppo,1432860,0.12813185797096033
uttar-pradesh,2018,4,Vivo,1430827,0.13835157422710037
gujarat,2020,1,Oppo,1429059,0.13928663430814683
delhi,2019,1,Xiaomi,1428603,0.25978081062862424
punjab,2021,4,Samsung,1427734,0.2075163700310882
odisha,2022,1,Realme,1424358,0.11747496593546158
punjab,2021,4,Vivo,1424349,0.20702437158280915
telangana,2019,2,Vivo,1423728,0.15738745282863478
madhya-pradesh,2022,1,Others,1423544,0.07242233180287062
chhattisgarh,2021,4,Vivo,1423389,0.2557530966326181
gujarat,2019,1,Samsung,1419211,0.21333383239113626
west-bengal,2021,2,Realme,1419072,0.0789251199904071
bihar,2020,3,Oppo,1419010,0.12063115749072979
madhya-pradesh,2021,3,Others,1418521,0.0824231142018821
madhya-pradesh,2021,2,Others,1416988,0.08888989259412952
madhya-pradesh,2018,4,Xiaomi,1416415,0.26398850271794944
haryana,2021,2,Oppo,1416092,0.13447408569735003
madhya-pradesh,2021,1,Others,1412501,0.09518568338251875
rajasthan,2019,4,Oppo,1410408,0.12909876411334667
madhya-pradesh,2021,4,Others,1408594,0.07632073331500891
tamil-nadu,2019,3,Vivo,1404873,0.16667463534403035
madhya-pradesh,2021,3,Realme,1404072,0.08158355555093298
haryana,2020,1,Samsung,1400065,0.19947440933382915
bihar,2018,4,Xiaomi,1399341,0.2929535565085682
maharashtra,2018,3,Vivo,1399253,0.13409186152070626
kerala,2020,4,Samsung,1399186,0.21906199757670416
haryana,2020,2,Vivo,1398622,0.18204402048294924
tamil-nadu,2019,2,Samsung,1396893,0.18801702754478736
maharashtra,2022,1,OnePlus,1396866,0.028964019173241564
jharkhand,2020,4,Xiaomi,1396020,0.2838628709837334
delhi,2019,4,Samsung,1394404,0.19127933877676775
odisha,2020,3,Samsung,1391798,0.17613783267134958
odisha,2019,2,Xiaomi,1391200,0.2871201081282109
uttar-pradesh,2018,4,Others,1389679,0.13437283285843965
andhra-pradesh,2018,4,Samsung,1388061,0.20241770616277957
andhra-pradesh,2020,1,Oppo,1387060,0.10651617332434346
madhya-pradesh,2019,2,Samsung,1385430,0.18975446681710828
andhra-pradesh,2018,3,Xiaomi,1385112,0.25519707820209125
odisha,2020,4,Vivo,1383491,0.16089441361890813
uttar-pradesh,2019,1,Oppo,1383225,0.11102517357202352
west-bengal,2020,2,Oppo,1382437,0.10455564209468113
maharashtra,2021,4,Apple,1382079,0.030387045955647212
bihar,2019,2,Samsung,1380854,0.20954544771667674
punjab,2021,2,Xiaomi,1380642,0.23100994085549048
telangana,2020,2,Oppo,1377106,0.10293663769638212
madhya-pradesh,2020,2,Oppo,1376782,0.1210419201044308
punjab,2021,3,Samsung,1373929,0.2135133589500443
tamil-nadu,2020,4,Others,1364925,0.08887627261211495
delhi,2020,2,Vivo,1364186,0.16257459207862007
gujarat,2018,4,Xiaomi,1363826,0.24445531847773094
rajasthan,2021,3,Realme,1363093,0.06649407679663835
andhra-pradesh,2020,4,Realme,1361491,0.07972862223755187
rajasthan,2020,3,Others,1358651,0.09076181482612677
madhya-pradesh,2020,4,Others,1355238,0.09864923776456555
maharashtra,2018,1,Samsung,1354403,0.2217789963441916
karnataka,2020,3,Others,1352532,0.06601726414334559
west-bengal,2019,4,Others,1350290,0.12404986725840138
bihar,2021,1,Realme,1349413,0.09675786130330881
telangana,2018,3,Xiaomi,1348603,0.2624506641139118
west-bengal,2019,4,Vivo,1347847,0.12382543115525889
maharashtra,2019,1,Others,1344550,0.08256649241660036
odisha,2021,2,Oppo,1331944,0.13466182335528487
kerala,2022,1,Vivo,1330622,0.14830335012241566
telangana,2018,4,Samsung,1327932,0.2033686495155428
karnataka,2018,2,Xiaomi,1325344,0.26345304249040635
west-bengal,2018,3,Xiaomi,1324033,0.2728985889598371
delhi,2021,1,Oppo,1318743,0.12598801399799947
punjab,2021,2,Samsung,1317948,0.22051993893464925
rajasthan,2018,4,Samsung,1317264,0.2071580870292187
maharashtra,2020,3,Realme,1316605,0.041917396172299774
karnataka,2021,3,Realme,1315961,0.04765519186653862
punjab,2021,3,Vivo,1315799,0.20447975418897874
andhra-pradesh,2022,1,Others,1309987,0.0549077747707672
chhattisgarh,2021,3,Vivo,1306833,0.25102034465828826
delhi,2019,3,Samsung,1305636,0.19250677426460636
punjab,2021,1,Xiaomi,1304479,0.23424874079173938
madhya-pradesh,2019,2,Vivo,1303162,0.17848668679494195
west-bengal,2018,4,Samsung,1302124,0.20736842675224762
haryana,2019,2,Xiaomi,1301537,0.2513575626251683
chhattisgarh,2022,1,Xiaomi,1301387,0.21994179106470366
haryana,2021,1,Oppo,1300515,0.13232881270219848
kerala,2020,3,Xiaomi,1299988,0.2328767712233309
bihar,2020,1,Vivo,1297671,0.13877002757069282
jharkhand,2022,1,Vivo,1293214,0.1840801961489052
tamil-nadu,2021,4,Realme,1288203,0.06304478283369244
uttar-pradesh,2020,1,Realme,1288049,0.06396665795269985
andhra-pradesh,2021,3,Others,1286102,0.061068766809791765
haryana,2019,4,Samsung,1285177,0.20185987074265876
odisha,2020,2,Samsung,1283975,0.17689711730615162
karnataka,2018,3,Samsung,1283960,0.20147979278318953
andhra-pradesh,2021,4,Others,1283514,0.05707289541046881
jharkhand,2020,3,Xiaomi,1282150,0.286192471607872
rajasthan,2020,2,Others,1281070,0.09445189229297715
uttar-pradesh,2018,2,Samsung,1274460,0.19781906368188765
gujarat,2022,1,Realme,1272108,0.06603100266105187
andhra-pradesh,2021,2,Others,1271853,0.06482132195227489
gujarat,2019,1,Vivo,1271697,0.19115973216830393
tamil-nadu,2018,4,Xiaomi,1270630,0.24435765608346965
tamil-nadu,2020,2,Oppo,1270624,0.10457134213375167
andhra-pradesh,2021,1,Others,1267571,0.06902578032473027
bihar,2020,2,Oppo,1266996,0.11948546210040262
maharashtra,2021,4,OnePlus,1264294,0.02779736894884376
andhra-pradesh,2019,1,Vivo,1262871,0.15246506135021543
gujarat,2019,4,Oppo,1262789,0.13543717534022345
madhya-pradesh,2020,3,Others,1260061,0.10028960005806964
telangana,2021,2,Realme,1259720,0.06881128843363807
karnataka,2018,4,Vivo,1259198,0.15142231621195407
karnataka,2020,2,Others,1255801,0.06731580607960197
odisha,2020,3,Vivo,1253856,0.15868069814870242
odisha,2021,4,Realme,1250982,0.10974262746579047
telangana,2020,1,Oppo,1250747,0.10163006648324593
haryana,2020,1,Vivo,1250165,0.17811739093886822
punjab,2021,1,Samsung,1249727,0.22441677948317917
tamil-nadu,2020,3,Others,1245765,0.09130864324575945
rajasthan,2019,3,Oppo,1244255,0.12699973380432006
chhattisgarh,2021,4,Xiaomi,1243356,0.2234049491858835
andhra-pradesh,2019,4,Oppo,1241235,0.10556619758846043
delhi,2020,1,Vivo,1238728,0.15827968552286634
odisha,2021,1,Oppo,1237047,0.1339809156473258
odisha,2019,1,Xiaomi,1230535,0.2847970164397613
west-bengal,2019,3,Others,1228035,0.12734695934616044
kerala,2021,4,Vivo,1227761,0.1448888988542344
west-bengal,2021,1,Realme,1227019,0.07299861221494766
karnataka,2019,2,Oppo,1222575,0.10215291717047177
west-bengal,2020,1,Oppo,1220788,0.10206556037703764
maharashtra,2021,3,Apple,1219480,0.028638918422646303
telangana,2019,1,Vivo,1219194,0.15309920040686012
punjab,2020,4,Xiaomi,1219022,0.23634222512092207
karnataka,2022,1,Apple,1215812,0.03896789744242925
madhya-pradesh,2019,1,Samsung,1214286,0.1893061599029559
andhra-pradesh,2020,4,Others,1212259,0.07098962818341979
delhi,2020,4,Oppo,1209582,0.12408555300961185
andhra-pradesh,2020,3,Realme,1207622,0.07695582671999607
bihar,2019,1,Samsung,1207394,0.2101600367755783
delhi,2018,4,Xiaomi,1206379,0.260539406299315
madhya-pradesh,2020,1,Oppo,1206327,0.11883389938166973
rajasthan,2018,3,Xiaomi,1205544,0.23293497206911162
bihar,2022,1,Others,1205491,0.0652157589282961
kerala,2020,3,Samsung,1205428,0.21593751679415293
jharkhand,2021,4,Vivo,1201048,0.182081915091668
rajasthan,2018,4,Vivo,1200927,0.1888624755415304
madhya-pradesh,2021,2,Realme,1196164,0.0750372547156111
tamil-nadu,2019,2,Vivo,1196063,0.16098599535991734
haryana,2020,4,Oppo,1196039,0.13100280803467912
bihar,2020,4,Realme,1195635,0.09275798995999406
gujarat,2018,4,Samsung,1194869,0.2141710760274169
delhi,2019,2,Samsung,1188974,0.1928447048778937
punjab,2021,2,Vivo,1187613,0.19871219975142843
bihar,2021,4,Others,1185884,0.06840593560872038
tamil-nadu,2019,1,Samsung,1181910,0.18771491778588165
odisha,2020,1,Samsung,1180711,0.1774712647133536
madhya-pradesh,2020,2,Others,1179417,0.10369027070647892
haryana,2019,3,Samsung,1177753,0.20363131060944523
chhattisgarh,2021,3,Xiaomi,1175329,0.22576066771108572
jharkhand,2020,2,Xiaomi,1173662,0.2890056352629317
punjab,2020,4,Samsung,1169264,0.22669521593030298
chhattisgarh,2021,2,Vivo,1169224,0.2417222876316271
rajasthan,2020,1,Others,1166263,0.09605154910788151
uttar-pradesh,2018,1,Xiaomi,1164619,0.24809479682590402
bihar,2021,3,Others,1163194,0.07197639271047154
rajasthan,2021,2,Realme,1162747,0.06125851740570892
maharashtra,2020,2,Realme,1160245,0.040335182728116994
west-bengal,2019,3,Vivo,1158257,0.12011099609653288
karnataka,2020,1,Others,1156444,0.0679582393585701
uttar-pradesh,2018,3,Others,1147606,0.14174129680751507
bihar,2021,2,Others,1146472,0.07657372021917518
odisha,2020,4,Oppo,1143995,0.1330419964480888
tamil-nadu,2020,2,Others,1143703,0.09412584502763854
maharashtra,2018,4,Others,1138388,0.08507112974963685
haryana,2019,1,Xiaomi,1136307,0.25035587858993424
west-bengal,2019,2,Others,1134253,0.13169395068615938
madhya-pradesh,2018,3,Xiaomi,1132909,0.26289806555993084
maharashtra,2021,2,Apple,1131848,0.028535400131759484
jharkhand,2022,1,Samsung,1130720,0.16095028308500378
bihar,2019,4,Vivo,1129443,0.13538790502445736
andhra-pradesh,2020,3,Others,1129155,0.07195550968764826
maharashtra,2018,3,Oppo,1125654,0.10787258650739294
telangana,2019,4,Oppo,1125257,0.10028410906244545
punjab,2020,3,Xiaomi,1124885,0.23963126670533824
kerala,2020,2,Xiaomi,1124154,0.23772279229342308
odisha,2020,2,Vivo,1122838,0.1546967856864851
karnataka,2021,4,Apple,1120969,0.03805100034128041
punjab,2022,1,Oppo,1119920,0.15335643155720208
bihar,2021,1,Others,1119501,0.08027232766166882
madhya-pradesh,2019,1,Vivo,1118407,0.17435870493325722
gujarat,2021,4,Realme,1116664,0.061560815164901694
kerala,2021,3,Vivo,1115818,0.14036461756667934
delhi,2019,4,Vivo,1114120,0.15283098507891005
andhra-pradesh,2018,2,Xiaomi,1113800,0.25299031922481113
gujarat,2019,3,Oppo,1111618,0.13187549759475847
karnataka,2022,1,OnePlus,1110711,0.03559931332819386
tamil-nadu,2020,1,Oppo,1109430,0.10204124805194231
karnataka,2021,2,Realme,1108812,0.043058949541538605
telangana,2018,2,Xiaomi,1108404,0.2601817087097414
maharashtra,2021,3,OnePlus,1108387,0.02602995118716311
uttar-pradesh,2018,4,Oppo,1108153,0.10715111752467907
jharkhand,2021,3,Vivo,1106458,0.17985797101779094
delhi,2020,3,Oppo,1106202,0.12231100374672137
bihar,2020,1,Oppo,1103628,0.11801950416383548
andhra-pradesh,2018,3,Samsung,1103186,0.2032542089834268
haryana,2019,4,Vivo,1103105,0.1732622298061517
chhattisgarh,2021,2,Xiaomi,1101581,0.22773795212169387
rajasthan,2019,2,Oppo,1100301,0.12526288047441153
bihar,2018,3,Xiaomi,1098938,0.2903759642862333
west-bengal,2020,4,Realme,1095750,0.06996191377487032
assam,2022,1,Xiaomi,1094829,0.24369667467912154
haryana,2020,3,Oppo,1092131,0.13003392382926354
odisha,2019,4,Samsung,1091395,0.17846265994302707
jharkhand,2021,4,Samsung,1090678,0.16534954388862913
gujarat,2018,3,Xiaomi,1090580,0.24600383065621248
uttar-pradesh,2019,4,Realme,1090479,0.060752469338771986
andhra-pradesh,2019,3,Oppo,1087660,0.10399578608914135
tamil-nadu,2021,3,Realme,1086229,0.05678904233917346
west-bengal,2019,4,Oppo,1085985,0.0997684164843219
punjab,2021,1,Vivo,1083200,0.19451308608694512
rajasthan,2018,3,Samsung,1072593,0.20724620627411747
andhra-pradesh,2020,2,Realme,1072165,0.07487355683700922
bihar,2020,4,Others,1071943,0.08316189977015218
madhya-pradesh,2019,4,Oppo,1069906,0.11673517368501275
madhya-pradesh,2020,1,Others,1068862,0.10529237873386757
karnataka,2019,4,Others,1066738,0.06933436183980986
uttar-pradesh,2018,3,Vivo,1066448,0.13171743830006188
telangana,2021,1,Realme,1065087,0.06210756980451825
punjab,2020,3,Samsung,1063448,0.22654350561635947
jharkhand,2020,1,Xiaomi,1062496,0.2909837423690082
delhi,2019,1,Samsung,1061515,0.19302859310420323
rajasthan,2019,4,Others,1060531,0.0970735002948733
haryana,2019,2,Samsung,1060392,0.2047867625332414
chhattisgarh,2021,1,Vivo,1059097,0.23459630869160633
bihar,2020,3,Realme,1055287,0.08971077884928208
maharashtra,2021,1,Apple,1054581,0.02844258506167764
andhra-pradesh,2020,2,Others,1053205,0.07354950444056865
jharkhand,2021,3,Samsung,1050011,0.17068234673739235
haryana,2022,1,Realme,1043668,0.08111206756390851
telangana,2018,3,Samsung,1041937,0.20277061345322303
punjab,2021,4,Oppo,1041175,0.15133131001091119
assam,2021,4,Xiaomi,1040847,0.2472560873491035
odisha,2020,3,Oppo,1040287,0.1316526518475959
odisha,2021,3,Realme,1038215,0.09746218959135376
chhattisgarh,2021,1,Xiaomi,1035868,0.22945094650608666
tamil-nadu,2020,1,Others,1032733,0.09498694304681372
kerala,2022,1,Oppo,1032233,0.11504665638093425
west-bengal,2018,2,Xiaomi,1032175,0.26923061874722043
maharashtra,2020,1,Realme,1031169,0.039405137266755805
maharashtra,2018,2,Vivo,1030036,0.12527238189568435
odisha,2018,4,Xiaomi,1029813,0.28417171393006063
gujarat,2018,4,Vivo,1025717,0.18385188132725344
punjab,2020,2,Xiaomi,1025347,0.24265805478713548
west-bengal,2019,1,Others,1022162,0.13721354332716953
karnataka,2018,2,Samsung,1021480,0.2030506901175093
karnataka,2021,4,OnePlus,1018047,0.03455733989471564
madhya-pradesh,2021,1,Realme,1015817,0.06845392345674803
madhya-pradesh,2018,4,Samsung,1015220,0.18921460710972182
karnataka,2019,1,Oppo,1014741,0.09884315227854115
telangana,2022,1,Others,1014180,0.04578564240121221
telangana,2021,3,Others,1012502,0.05161802957878038
andhra-pradesh,2018,4,Vivo,1011185,0.1474587559237024
jharkhand,2021,2,Samsung,1010689,0.17726711710929557
kerala,2020,2,Samsung,1009812,0.2135430984824198
telangana,2021,1,Others,1009768,0.05888179702350023
telangana,2021,2,Others,1009352,0.055135118600220245
bihar,2018,4,Samsung,1008369,0.21110314413926873
odisha,2020,1,Vivo,1006170,0.1512362148033134
telangana,2021,4,Others,1003196,0.04795930938510346
delhi,2020,2,Oppo,1002444,0.11946459235152701
delhi,2019,3,Vivo,1001823,0.147711700745147
karnataka,2021,3,Apple,999896,0.03620945888714369
kerala,2021,2,Vivo,999633,0.13479258525019205
bihar,2020,3,Others,999169,0.08494014347950683
west-bengal,2019,2,Vivo,998435,0.11592462144983133
jharkhand,2021,2,Vivo,997874,0.1750194641658524
telangana,2019,3,Oppo,994066,0.09851448240171479
madhya-pradesh,2019,4,Others,993220,0.10836812692650417
kerala,2020,1,Xiaomi,990472,0.2428629856048428
rajasthan,2021,1,Realme,987022,0.05588681739199759
haryana,2020,2,Oppo,984512,0.12814364617009408
maharashtra,2020,4,Apple,983306,0.02855738790335249
tamil-nadu,2019,1,Vivo,982792,0.15609032792735675
west-bengal,2018,3,Samsung,980572,0.2021072852213845
rajasthan,2019,3,Others,980203,0.10004823776010216
punjab,2020,4,Vivo,979161,0.18983832079456087
tamil-nadu,2018,4,Samsung,978019,0.1880849896862965
haryana,2019,3,Vivo,977699,0.16904234483082953
bihar,2019,4,Oppo,977488,0.11717284759527198
assam,2021,3,Xiaomi,977013,0.24933469100263367
